,team_game_order,orig_game_date,played_at_opp,opp_team,team_game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team,team_w_or_l,team_runs,opp_runs,team_won,team_at_home,opp_at_home,home_team,away_team,game_date,game_date_compact,dh_game_num,teams_in_game,teams_and_game_loc,game_uid,game_desc
0,1,Apr 1,True,SDP,"L,7-8",41,40,7,12,3,0,4,7,1,0,12,0,0,0,1,0,0,0,0.3,0.317,0.675,0.992,7,16,R,Y.Darvish(37),ARI,L,7,8,0.0,0.0,1.0,SDP,ARI,2021-04-01,20210401,,"ARI, SDP",ARI@SDP,20210401|ARI@SDP|1,ARI at SDP on 2021-04-01
1,2,Apr 2,True,SDP,"L,2-4",38,36,2,8,1,0,1,2,2,0,12,0,0,0,1,1,1,0,0.263,0.291,0.513,0.804,9,17,L,B.Snell(62),ARI,L,2,4,0.0,0.0,1.0,SDP,ARI,2021-04-02,20210402,,"ARI, SDP",ARI@SDP,20210402|ARI@SDP|1,ARI at SDP on 2021-04-02
2,3,Apr 3,True,SDP,"L,0-7",30,30,0,4,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.226,0.248,0.406,0.653,3,13,R,J.Musgrove(74),ARI,L,0,7,0.0,0.0,1.0,SDP,ARI,2021-04-03,20210403,,"ARI, SDP",ARI@SDP,20210403|ARI@SDP|1,ARI at SDP on 2021-04-03
3,4,Apr 4,True,SDP,"W,3-1",38,32,3,6,1,1,0,2,6,1,8,0,0,0,1,2,0,0,0.217,0.265,0.377,0.642,8,16,R,C.Paddack(44),ARI,W,3,1,1.0,0.0,1.0,SDP,ARI,2021-04-04,20210404,,"ARI, SDP",ARI@SDP,20210404|ARI@SDP|1,ARI at SDP on 2021-04-04
4,5,Apr 6,True,COL,"W,10-8",57,53,10,13,3,0,2,9,3,0,13,1,0,0,1,0,0,0,0.225,0.275,0.387,0.662,8,19,R,G.Marquez(53),ARI,W,10,8,1.0,0.0,1.0,COL,ARI,2021-04-06,20210406,,"ARI, COL",ARI@COL,20210406|ARI@COL|1,ARI at COL on 2021-04-06
5,6,Apr 7,True,COL,"L,0-8",33,31,0,5,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0.216,0.266,0.365,0.631,6,14,R,A.Senzatela(75),ARI,L,0,8,0.0,0.0,1.0,COL,ARI,2021-04-07,20210407,,"ARI, COL",ARI@COL,20210407|ARI@COL|1,ARI at COL on 2021-04-07
6,7,Apr 8,True,COL,"L,3-7",37,31,3,5,1,1,1,3,6,0,7,0,0,0,0,1,1,0,0.209,0.27,0.364,0.634,7,14,R,J.Gray(67),ARI,L,3,7,0.0,0.0,1.0,COL,ARI,2021-04-08,20210408,,"ARI, COL",ARI@COL,20210408|ARI@COL|1,ARI at COL on 2021-04-08
7,8,Apr 9,False,CIN,"L,5-6",45,35,5,6,2,0,1,5,9,1,11,0,0,1,0,0,0,0,0.205,0.279,0.358,0.637,10,17,R,T.Mahle(64),ARI,L,5,6,0.0,1.0,0.0,ARI,CIN,2021-04-09,20210409,,"ARI, CIN",CIN@ARI,20210409|CIN@ARI|1,CIN at ARI on 2021-04-09
8,9,Apr 10,False,CIN,"W,8-3",39,34,8,10,0,0,2,7,4,0,6,0,0,1,1,0,1,0,0.214,0.288,0.37,0.657,7,12,R,J.Hoffman(38),ARI,W,8,3,1.0,1.0,0.0,ARI,CIN,2021-04-10,20210410,,"ARI, CIN",CIN@ARI,20210410|CIN@ARI|1,CIN at ARI on 2021-04-10
9,10,Apr 11,False,CIN,"W,7-0",41,35,7,13,3,0,2,7,6,0,12,0,0,0,0,2,0,0,0.23,0.306,0.395,0.701,10,12,R,J.De Leon(29),ARI,W,7,0,1.0,1.0,0.0,ARI,CIN,2021-04-11,20210411,,"ARI, CIN",CIN@ARI,20210411|CIN@ARI|1,CIN at ARI on 2021-04-11
10,11,Apr 12,False,OAK,"L,5-9",39,33,5,7,1,1,0,5,5,0,6,0,0,1,0,1,0,0,0.228,0.306,0.387,0.693,7,18,R,C.Bassitt(54),ARI,L,5,9,0.0,1.0,0.0,ARI,OAK,2021-04-12,20210412,,"ARI, OAK",OAK@ARI,20210412|OAK@ARI|1,OAK at ARI on 2021-04-12
11,12,Apr 13,False,OAK,"L,5-7",38,34,5,8,1,0,1,5,4,0,9,0,0,0,0,1,1,0,0.229,0.307,0.384,0.691,6,14,L,J.Luzardo(25),ARI,L,5,7,0.0,1.0,0.0,ARI,OAK,2021-04-13,20210413,,"ARI, OAK",OAK@ARI,20210413|OAK@ARI|1,OAK at ARI on 2021-04-13
12,13,Apr 15,True,WSN,"W,11-6",49,37,11,8,0,0,4,11,7,0,4,5,0,0,1,0,1,0,0.228,0.316,0.397,0.713,11,15,L,P.Corbin(3),ARI,W,11,6,1.0,0.0,1.0,WSN,ARI,2021-04-15,20210415,,"ARI, WSN",ARI@WSN,20210415|ARI@WSN|1,ARI at WSN on 2021-04-15
13,14,Apr 16,True,WSN,"L,0-1",32,30,0,3,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0.22,0.307,0.379,0.686,5,14,R,M.Scherzer(81),ARI,L,0,1,0.0,0.0,1.0,WSN,ARI,2021-04-16,20210416,,"ARI, WSN",ARI@WSN,20210416|ARI@WSN|1,ARI at WSN on 2021-04-16
14,15,Apr 17,True,WSN,"L,2-6",37,34,2,5,0,0,2,2,3,0,13,0,0,0,2,0,0,1,0.215,0.301,0.375,0.677,8,16,R,E.Fedde(63),ARI,L,2,6,0.0,0.0,1.0,WSN,ARI,2021-04-17,20210417,,"ARI, WSN",ARI@WSN,20210417|ARI@WSN|1,ARI at WSN on 2021-04-17
15,16,Apr 18,True,WSN,"W,5-2",43,35,5,11,2,0,2,4,7,1,7,0,0,1,0,0,0,1,0.221,0.309,0.386,0.695,11,15,R,P.Espino(47),ARI,W,5,2,1.0,0.0,1.0,WSN,ARI,2021-04-18,20210418,,"ARI, WSN",ARI@WSN,20210418|ARI@WSN|1,ARI at WSN on 2021-04-18
16,17,Apr 20,True,CIN,"W,5-4",46,36,5,9,3,0,1,4,8,1,11,2,0,0,0,1,0,0,0.223,0.316,0.388,0.704,14,18,R,L.Castillo(41),ARI,W,5,4,1.0,0.0,1.0,CIN,ARI,2021-04-20,20210420,,"ARI, CIN",ARI@CIN,20210420|ARI@CIN|1,ARI at CIN on 2021-04-20
