,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team
0,1,Apr 1,True,SDP,"L,7-8",41,40,7,12,3,0,4,7,1,0,12,0,0,0,1,0,0,0,0.3,0.317,0.675,0.992,7,16,R,Y.Darvish(37),ARI
1,2,Apr 2,True,SDP,"L,2-4",38,36,2,8,1,0,1,2,2,0,12,0,0,0,1,1,1,0,0.263,0.291,0.513,0.804,9,17,L,B.Snell(62),ARI
2,3,Apr 3,True,SDP,"L,0-7",30,30,0,4,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.226,0.248,0.406,0.653,3,13,R,J.Musgrove(74),ARI
3,4,Apr 4,True,SDP,"W,3-1",38,32,3,6,1,1,0,2,6,1,8,0,0,0,1,2,0,0,0.217,0.265,0.377,0.642,8,16,R,C.Paddack(44),ARI
4,5,Apr 6,True,COL,"W,10-8",57,53,10,13,3,0,2,9,3,0,13,1,0,0,1,0,0,0,0.225,0.275,0.387,0.662,8,19,R,G.Marquez(53),ARI
5,6,Apr 7,True,COL,"L,0-8",33,31,0,5,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0.216,0.266,0.365,0.631,6,14,R,A.Senzatela(75),ARI
6,7,Apr 8,True,COL,"L,3-7",37,31,3,5,1,1,1,3,6,0,7,0,0,0,0,1,1,0,0.209,0.27,0.364,0.634,7,14,R,J.Gray(67),ARI
7,8,Apr 9,False,CIN,"L,5-6",45,35,5,6,2,0,1,5,9,1,11,0,0,1,0,0,0,0,0.205,0.279,0.358,0.637,10,17,R,T.Mahle(64),ARI
8,9,Apr 10,False,CIN,"W,8-3",39,34,8,10,0,0,2,7,4,0,6,0,0,1,1,0,1,0,0.214,0.288,0.37,0.657,7,12,R,J.Hoffman(38),ARI
9,10,Apr 11,False,CIN,"W,7-0",41,35,7,13,3,0,2,7,6,0,12,0,0,0,0,2,0,0,0.23,0.306,0.395,0.701,10,12,R,J.De Leon(29),ARI
