events	Hit Or Out?	bb_type	hc_x	hc_y	hit_distance_sc	launch_speed	launch_angle	pitch_name	if_fielding_alignment	of_fielding_alignment	adj_hc_x	adj_hc_y	spray_angle
fielders_choice	0	ground_ball	148.32	179.88	15	95.7	-7	Changeup	Infield shift	Strategic	22.9	18.39	38.42516867
field_out	0	line_drive	186.29	90.99	306	107	16	4-Seam Fastball	Infield shift	Strategic	60.87	107.28	22.17772873
single	1	ground_ball	188.69	101.31	81	97.1	4	Slider	Strategic	Strategic	63.27	96.96	24.84445512
fielders_choice	0	ground_ball	146.29	159.46	7	95	-17	Changeup	Infield shift	Standard	20.87	38.81	21.20178972
home_run	1	line_drive	211.76	72.8	376	103.2	22	Slider	Infield shift	Strategic	86.34	125.47	25.89984656
triple	1	line_drive	174.05	59.37	364	109.4	18	4-Seam Fastball	Infield shift	Strategic	48.63	138.9	14.47166868
field_out	0	ground_ball	112.68	151.91	33	71	-1	Cutter	Standard	Standard	-12.74	46.36	-11.52443233
field_out	0	popup	119.15	201.15	17	71.7	83	Sinker	Standard	Standard	-6.27	-2.88	48.99694118
field_out	0	ground_ball	158.89	166.84	67	58.2	7	4-Seam Fastball	Infield shift	Standard	33.47	31.43	35.10028796
field_out	0	popup	92.91	186.99	78	78.6	75	Sinker	Standard	Standard	-32.51	11.28	-53.14856373
field_out	0	ground_ball	84.31	157.96	11	104.6	-7	Sinker	Standard	Standard	-41.11	40.31	-34.17221029
home_run	1	fly_ball	224.29	98.95	345	92.4	34	4-Seam Fastball	Strategic	Strategic	98.87	99.32	33.65243053
single	1	ground_ball	160.86	150.9	29	94.8	-5	Cutter	Infield shift	Standard	35.44	47.37	27.60157761
field_out	0	ground_ball	95.69	150.1	21	75.5	-6	Cutter	Standard	Standard	-29.73	48.17	-23.76182499
field_out	0	ground_ball	156.89	162.85	35	93.5	-2	Sinker	Infield shift	Standard	31.47	35.42	31.21536318
double	1	line_drive	201.25	114.69	279	99.9	18	Sinker	Infield shift	Standard	75.83	83.58	31.66249165
field_out	0	line_drive	162.54	163.55	129	96.8	8	Slider	Infield shift	Standard	37.12	34.72	35.18505096
field_out	0	popup	97	141	180	90.9	61	Sinker	Standard	Standard	-28.42	57.27	-19.79453661
home_run	1	fly_ball	202.31	66.57	377	99	34	Slider	Infield shift	Standard	76.89	131.7	22.70814849
single	1	ground_ball	108.94	185.56	1	87.6	-66	4-Seam Fastball	Standard	Standard	-16.48	12.71	-39.26942262
field_out	0	ground_ball	146.83	139.21	86	77.2	7	Slider	Infield shift	Standard	21.41	59.06	14.94466781
field_out	0	popup	103.75	143.86	152	79.2	63	Slider	Standard	Standard	-21.67	54.41	-16.28701974
single	1	ground_ball	90.27	150.69	9	94.7	-15	Slider	Standard	Standard	-35.15	47.58	-27.34151232
home_run	1	fly_ball	16.95	82.62	408	106.1	31	4-Seam Fastball	Standard	Standard	-108.47	115.65	-32.37380741
field_out	0	ground_ball	99.88	172.02	9	81.6	-12	Cutter	Standard	Standard	-25.54	26.25	-33.16092699
single	1	ground_ball	170.53	143.43	95	77.9	7	Changeup	Infield shift	Standard	45.11	54.84	29.57988879
double	1	line_drive	219.21	104.79	306	108.9	17	4-Seam Fastball	Infield shift	Standard	93.79	93.48	33.82113396
single	1	line_drive	157.1	109.05	188	105.8	10	4-Seam Fastball	Infield shift	Standard	31.68	89.22	14.66159804
field_out	0	popup	164.39	155.18	147	76.3	62	4-Seam Fastball	Infield shift	Standard	38.97	43.09	31.59431609
home_run	1	line_drive	28.82	78.24	381	108.3	23	Changeup	Standard	Standard	-96.6	120.03	-29.12030197
home_run	1	fly_ball	204.53	46.68	410	106.1	26	4-Seam Fastball	Strategic	Standard	79.11	151.59	20.66896797
field_out	0	line_drive	151.28	128.68	188	78.7	16	Sinker	Infield shift	Standard	25.86	69.59	15.28899272
field_out	0	ground_ball	160.77	138.64	141	64.1	16	Sinker	Infield shift	Standard	35.35	59.63	22.99530907
field_out	0	ground_ball	165.43	155.17	68	88.5	3	Sinker	Infield shift	Strategic	40.01	43.1	32.15305816
home_run	1	line_drive	23.78	67.18	410	106.7	27	Cutter	Standard	Standard	-101.64	131.09	-28.34102877
triple	1	line_drive	206.56	74.64	328	95.1	24	Slider	Infield shift	Strategic	81.14	123.63	24.958064
field_out	0	popup	151.06	149.1	143	90.8	64	Slider	Infield shift	Strategic	25.64	49.17	20.65505003
field_out	0	fly_ball	196.17	86.5	326	93.4	36	Slider	Infield shift	Strategic	70.75	111.77	24.25024527
force_out	0	ground_ball	162.89	161.62	14	83	-3	Changeup	Infield shift	Strategic	37.47	36.65	34.22538407
grounded_into_double_play	0	ground_ball	155.64	163.54	3	75.8	-27	Changeup	Infield shift	Strategic	30.22	34.73	30.77090239
single	1	ground_ball	148.45	143.61	7	90.3	-13	Split-Finger	Infield shift	Standard	23.03	54.66	17.13543203
field_out	0	ground_ball	95.35	166.67	114	112.2	4	Sinker	Standard	Standard	-30.07	31.6	-32.68411022
field_out	0	ground_ball	101.36	166.63	4	97	-34	4-Seam Fastball	Infield shift	Standard	-24.06	31.64	-27.93783124
grounded_into_double_play	0	ground_ball	105.6	171.23	80	102.6	3	4-Seam Fastball	Standard	Standard	-19.82	27.04	-27.18073131
home_run	1	line_drive	224.42	97.67	348	104.3	21	Slider	Infield shift	Strategic	99	100.6	33.40554377
field_out	0	ground_ball	160.65	139.72	20	102.2	-6	Sinker	Infield shift	Standard	35.23	58.55	23.27674247
field_out	0	fly_ball	71.82	112.01	255	94.8	54	4-Seam Fastball	Strategic	Strategic	-53.6	86.26	-23.89190758
field_out	0	popup	187.34	158.79	171	61.7	52	Cutter	Infield shift	Strategic	61.92	39.48	43.10890648
field_out	0	ground_ball	86.8	164.04	5	76	-21	Changeup	Standard	Standard	-38.62	34.23	-36.33638987
field_out	0	fly_ball	175.92	85.97	306	82.5	32	Curveball	Infield shift	Standard	50.5	112.3	18.15967021
field_out	0	ground_ball	163.88	152.89	106	72	9	4-Seam Fastball	Infield shift	Standard	38.46	45.38	30.21120502
